fashion_competitions_id,dresses_id,winner
1,1,1
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
2,8,1
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
3,14,1
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
4,21,1
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
5,28,1
5,29,0
5,30,0
5,31,0
5,32,0
5,33,0
5,34,0
6,35,1
6,36,0
6,37,0
6,38,0
6,39,0
6,40,0
7,41,1
7,42,0
7,43,0
7,44,0
7,45,0
7,46,0
7,47,0
8,48,1
8,49,0
8,50,0
8,51,0
8,52,0
8,53,0
9,54,1
9,55,0
9,56,0
9,57,0
9,58,0
9,59,0
10,60,1
10,61,0
10,62,0
10,63,0
10,64,0
10,65,0
11,66,1
11,67,0
11,68,0
11,69,0
11,70,0
11,71,0
12,72,1
12,73,0
12,74,0
12,75,0
12,76,0
13,77,1
13,78,0
13,79,0
13,80,0
13,81,0
13,82,0
14,83,1
14,84,0
14,85,0
14,86,0
14,87,0
15,88,1
15,89,0
15,90,0
15,91,0
15,92,0
16,93,1
16,94,0
16,95,0
16,96,0
16,97,0
17,98,1
17,99,0
17,100,0
17,101,0
17,102,0
18,103,1
18,104,0
18,105,0
18,106,0
18,107,0
19,108,1
19,109,0
19,110,0
19,111,0
19,112,0
20,113,1
20,114,0
20,115,0
20,116,0
20,117,0
21,118,1
21,119,0
21,120,0
21,121,0
21,122,0
22,123,1
22,124,0
22,125,0
22,126,0
22,127,0
23,128,1
23,129,0
23,130,0
23,131,0
23,132,0
24,133,1
24,134,0
24,135,0
24,136,0
24,137,0
25,138,1
25,139,0
25,140,0
25,141,0
25,142,0
26,143,1
26,144,0
26,145,0
26,146,0
26,147,0
27,148,1
27,149,0
27,150,0
27,151,0
27,152,0
28,153,1
28,154,0
28,155,0
28,156,0
28,157,0
29,158,1
29,159,0
29,160,0
29,161,0
29,162,0
30,163,1
30,164,0
30,165,0
30,166,0
30,167,0
31,168,1
31,169,0
31,170,0
31,171,0
31,172,0
32,173,1
32,174,0
32,175,0
32,176,0
32,177,0
33,178,1
33,179,0
33,180,0
33,181,0
33,182,0
34,183,1
34,184,0
34,185,0
34,186,0
34,187,0
35,188,1
35,189,0
35,190,0
35,191,0
35,192,0
36,193,1
36,194,0
36,195,0
36,196,0
36,197,0
37,198,1
37,199,0
37,200,0
37,201,0
37,202,0
38,203,1
38,204,0
38,205,0
38,206,0
38,207,0
39,208,1
39,209,0
39,210,0
39,211,0
39,212,0
40,213,1
40,214,0
40,215,0
40,216,0
40,217,0
41,218,1
41,219,0
41,220,0
41,221,0
41,222,0
42,223,1
42,224,0
42,225,0
42,226,0
42,227,0
43,228,1
43,229,0
43,230,0
43,231,0
43,232,0
44,233,1
44,234,0
44,235,0
44,236,0
44,237,0
45,238,1
45,239,0
45,240,0
45,241,0
45,242,0
46,243,1
46,244,0
46,245,0
46,246,0
46,247,0
47,248,1
47,249,0
47,250,0
47,251,0
47,252,0
48,253,1
48,254,0
48,255,0
48,256,0
48,257,0
49,258,1
49,259,0
49,260,0
49,261,0
49,262,0
50,263,1
50,264,0
50,265,0
50,266,0
50,267,0
